Time,State0,State1,State2,State3,State4,State5,State6,State7,Trial
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4
0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8
0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1
0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8
0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3
0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1
0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1
0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2
0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8
0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2
0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8
0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2
0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1
0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1
0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1
0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4
0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9
0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9
0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9
0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6
0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7
0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1
0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3
0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
